"filename", "language", "Properties", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "SCSS", "TypeScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\Tabstrip.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\Tabstrip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\tabstripItem\ITabstripItemProps.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\tabstripItem\TabstripItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 9, 48
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\tabstripItem\TabstripItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\context\AppContext.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\context\IAppContext.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\Signal.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\errors\IllegalArgumentError.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\DateTime.ts", "TypeScript", 0, 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 214, 59, 544
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\DateTimeFormatter.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 28, 4, 66
